cpt_code,short_description,category,typical_time_minutes,is_time_based,is_addon,primary_code_required,primary_code_family,telehealth_eligible,typical_use,notes,,
99202,New patient E/M low complexity,E/M,20,Y,N,N,,Y,intake med management,Office/telehealth new patient,,
99203,New patient E/M moderate complexity,E/M,30,Y,N,N,,Y,intake med management,,,
99204,New patient E/M mod-high complexity,E/M,45,Y,N,N,,Y,intake complex med management,Common for psych intakes,,
99205,New patient E/M high complexity,E/M,60,Y,N,N,,Y,intake complex med management,,,
99212,Est patient E/M brief,E/M,15,Y,N,N,,Y,brief med check,,,
99213,Est patient E/M low complexity,E/M,20,Y,N,N,,Y,follow-up med management,,,
99214,Est patient E/M moderate complexity,E/M,30,Y,N,N,,Y,follow-up med management,High-volume psychiatry visit,,
99215,Est patient E/M high complexity,E/M,40,Y,N,N,,Y,complex follow-up,,,
90791,Psychiatric diagnostic evaluation (no medical),Diagnostic / Psychotherapy,,N,N,N,,Y,intake,Used when no medical services/med mgmt,,
90792,Psychiatric diagnostic evaluation with medical services,Diagnostic / E/M,,N,N,N,,Y,intake med management,Prescriber intake option,,
90832,Individual psychotherapy 30 minutes,Psychotherapy,30,Y,N,N,,Y,therapy only,,,
90834,Individual psychotherapy 45 minutes,Psychotherapy,45,Y,N,N,,Y,therapy only,Very common weekly session,,
90837,Individual psychotherapy 60 minutes,Psychotherapy,60,Y,N,N,,Y,therapy only,,,
90833,Add-on psychotherapy 30 minutes with E/M,Add-on Psychotherapy,30,Y,Y,Y,"Office E/M 99202Ð99205, 99212Ð99215",Y,med management + therapy,Report with appropriate E/M,,
90836,Add-on psychotherapy 45 minutes with E/M,Add-on Psychotherapy,45,Y,Y,Y,"Office E/M 99202Ð99205, 99212Ð99215",Y,med management + therapy,,,
90838,Add-on psychotherapy 60 minutes with E/M,Add-on Psychotherapy,60,Y,Y,Y,"Office E/M 99202Ð99205, 99212Ð99215",Y,med management + therapy,,,
90846,Family psychotherapy without patient,Family,50,Y,N,N,,Y,family work,,,
90847,Family psychotherapy with patient,Family,50,Y,N,N,,Y,family work,,,
90853,Group psychotherapy,Group,,N,N,N,,Y,group therapy,Per patient,,
90839,Psychotherapy for crisis first 60 minutes,Crisis,60,Y,N,N,,Y,crisis intervention,Face-to-face, initial 30Ð74 minutes,
90840,Each additional 30 minutes crisis psychotherapy,Crisis Add-on,30,Y,Y,Y,90839,Y,crisis intervention,Add-on time beyond 90839,,
96127,Brief emotional/behavioral assessment (per instrument),Screening,,N,N,N,,Y,screening,Per instrument (e.g., PHQ-9, GAD-7)
96130,Psychological testing evaluation first hour,Testing,60,Y,N,N,,Y,testing evaluation,By qualified professional,,
96136,Psychological/neuropsych testing by physician/NP first 30 min,Testing,30,Y,N,N,,Y,testing administration,,,
96138,Psychological/neuropsych testing by technician first 30 min,Testing,30,Y,N,N,,Y,testing administration,Use if you add tech-based testing,,
99484,General behavioral health integration (BHI) 20+ min,BHI,20,Y,N,N,,Y,chronic behavioral health management,Monthly care management,,
99417,Prolonged office/other E/M beyond typical time,Prolonged,15,Y,Y,Y,"Office E/M 99205, 99215",Y,extended E/M time,Add-on per 15 minutes beyond threshold,,
99354,Prolonged service face-to-face first 30Ð60 min,Prolonged,45,Y,Y,Y,"Office E/M 99202Ð99205, 99212Ð99215",N,extended in-person visit,Check payer-specific allowances,,
99355,Prolonged service face-to-face each additional 30 min,Prolonged,30,Y,Y,Y,99354,N,extended in-person visit,Check payer-specific allowances,,
99406,Smoking/tobacco cessation counseling 3Ð10 min,Health Behavior,10,Y,N,N,,Y,brief health behavior change,Can be added when appropriate,,
99407,Smoking/tobacco cessation counseling >10 min,Health Behavior,15,Y,N,N,,Y,health behavior change,intensive session,,
96156,Health behavior assessment/reassessment,Health Behavior,30,Y,N,N,,Y,health behavior assessment,Used for behavior affecting health,,
96158,Health behavior intervention individual first 30 min,Health Behavior,30,Y,N,N,,Y,health behavior intervention,Individual,,
96159,Health behavior intervention individual each additional 15 min,Health Behavior,15,Y,Y,Y,96158,Y,health behavior intervention,,,
96164,Health behavior intervention group first 30 min,Health Behavior,30,Y,N,N,,Y,group health behavior,,,
96165,Health behavior intervention group each additional 15 min,Health Behavior,15,Y,Y,Y,96164,Y,group health behavior,,,
96167,Health behavior intervention family with patient first 30 min,Health Behavior,30,Y,N,N,,Y,family health behavior,,,
96168,Health behavior intervention family with patient each addl 15 min,Health Behavior,15,Y,Y,Y,96167,Y,family health behavior,,,
G0568,CoCM 60 minutes initial month, BHI,60,Y,N,N,,Y,collaborative care,For collaborative care model where applicable,,
G0569,CoCM 30 minutes subsequent month,BHI,30,Y,N,N,,Y,collaborative care,,,
G0570,Each additional 30 minutes CoCM,BHI,30,Y,Y,Y,"G0568, G0569",Y,collaborative care,,,
